artwork_id,artist_name,artwork_name,artwork_year,artwork_classification,artwork_medium,artwork_dimensions,artwork_image_url
1,Robert Smithson,Alogon,1966,Sculpture,Painted stainless steel,Overall: 35 1/2 × 73 1/2 × 35 1/2in. (90.2 × 186.7 × 90.2 cm),https://whitneymedia.org/assets/artwork/1/180055.jpeg
2,Gifford R. Beal,The Rag Picker,c. 1940–1945,Drawings,Pen and ink and transparent and opaque watercolor on paper,Sheet (Irregular): 11 5/8 × 14 1/2in. (29.5 × 36.8 cm),https://whitneymedia.org/assets/artwork/2/46684.jpeg
3,Maurice Prendergast,"Central Park, 1900",1900,Drawings,"Watercolor, pastel, and graphite pencil on paper",Sheet: 15 1/4 × 22 1/8in. (38.7 × 56.2 cm),https://whitneymedia.org/assets/artwork/3/92452.jpeg
4,Edward Avedisian,Untitled,1965,Paintings,Acrylic on canvas,Overall: 102 3/16 × 68 3/16in. (259.6 × 173.2 cm),https://whitneymedia.org/assets/artwork/4/143518.jpeg
5,Gaston Lachaise,Dolphin Fountain,1924,Sculpture,Bronze,"Overall: 17 × 39 1/2 × 24 1/4in., 96lb. (43.2 × 100.3 × 61.6 cm)",https://whitneymedia.org/assets/artwork/5/153140.jpeg
6,Alfred Henry Maurer,Flowers,c. 1912,Paintings,Oil on cardboard,Overall: 21 5/8 × 18in. (54.9 × 45.7 cm),https://whitneymedia.org/assets/artwork/6/131566.jpeg
7,Reginald Marsh,Sketch after The Birth of Priapus by Poussin,1930s,Drawings,Brush and ink and wash on paper,Sheet: 10 7/8 × 11 1/16in. (27.6 × 28.1 cm),https://whitneymedia.org/assets/artwork/7/45504.jpeg
8,Robert Rauschenberg,Yoicks,1954,Paintings,"Enamel on collaged polyester, found paper, and cotton on canvas",Overall: 96 1/8 × 72 1/16in. (244.2 × 183 cm),https://whitneymedia.org/assets/artwork/8/143448.jpeg
9,David R. Smyth,Untitled,1972,Drawings,Graphite pencil on paper,Sheet: 22 5/8 × 22 9/16in. (57.5 × 57.3 cm)   Image: 18 1/8 × 24in. (46 × 61 cm),https://whitneymedia.org/assets/artwork/9/57866.jpeg
10,Larry Rivers,Washington Crossing the Delaware,1960,Paintings,Oil and oil stick on linen,Overall: 84 3/8 × 108 3/8in. (214.3 × 275.3 cm),https://whitneymedia.org/assets/artwork/10/142941.jpeg
11,Maud Morgan,The Old Mill,1930/1940,Paintings,Oil on linen,Overall: 20 1/8 × 25 5/8in. (51.1 × 65.1 cm),https://whitneymedia.org/assets/artwork/11/131749.jpeg
12,Alfred Henry Maurer,An Arrangement,1901,Paintings,Oil on cardboard,Overall: 36 3/16 × 32 1/8in. (91.9 × 81.6 cm),https://whitneymedia.org/assets/artwork/12/136612.jpeg
13,Reginald Marsh,(Sketches after Titian and Other Artists),1930s,Drawings,Graphite pencil on paper,Sheet: 10 7/8 × 8 3/8in. (27.6 × 21.3 cm),https://whitneymedia.org/assets/artwork/13/45494.jpeg
14,Milton Avery,Anemones,1958,Paintings,Oil on canvas board,Overall: 28 1/16 × 21 15/16in. (71.3 × 55.7 cm),https://whitneymedia.org/assets/artwork/14/131633.jpeg
15,Ibram Lassaw,Enactment,1961,Sculpture,"Bronzes, nickel-silver, copper, steel and brass",Overall: 24 5/8 × 19 1/2 × 11 3/4in. (62.5 × 49.5 × 29.8 cm),https://whitneymedia.org/assets/artwork/15/152781.jpeg
16,Chryssa,"Fragment for ""The Gates to Times Square""",1966,Sculpture,"Neon, acrylic, steel and painted wood",Overall: 75 7/16 × 34 7/8 × 27 3/4in. (191.6 × 88.6 × 70.5 cm),https://whitneymedia.org/assets/artwork/16/152693.jpeg
17,Nancy Elizabeth Prophet,Congolais,1931,Sculpture,Cherry,Overall: 16 13/16 × 7 7/8 × 9 1/4in. (42.7 × 20 × 23.5 cm),https://whitneymedia.org/assets/artwork/17/165855.jpeg
18,Noah Purifoy,Untitled,1970,Sculpture,"Wood, leather, brass, and copper",Overall: 49 3/8 × 28 5/8 × 21 1/4in. (125.4 × 72.7 × 54 cm),https://whitneymedia.org/assets/artwork/18/151424.jpeg
19,Kenneth Snelson,"Maquette for ""Sun River""",1967,Sculpture,Aluminum and plastic coated steel wire,Overall: 10 5/8 × 8 1/2 × 10 5/8in. (27 × 21.6 × 27 cm),https://whitneymedia.org/assets/artwork/19/145620.jpeg
21,Gaston Lachaise,Seated Nude,1932–1935,Drawings,Graphite pencil on paper,Sheet: 24 1/16 × 19in. (61.1 × 48.3 cm),https://whitneymedia.org/assets/artwork/21/59355.jpeg
22,Roy Gussow,Two Forms 9-12-66,1966,Sculpture,Stainless steel,Overall: 17 3/16 × 24 1/8 × 24 1/16in. (43.7 × 61.3 × 61.1 cm)   Base: 1 13/16 × 24 1/8 × 24 1/16in. (4.6 × 61.3 × 61.1 cm),https://whitneymedia.org/assets/artwork/22/151404.jpeg
23,Guy Pène Du Bois,Woman with Cigarette,1929,Paintings,Oil on canvas,Overall: 36 3/16 × 29 3/16in. (91.9 × 74.1 cm),https://whitneymedia.org/assets/artwork/23/137021.jpeg
24,Ruth Gikow,The Blind Musician,1957,Paintings,Oil and tempera on composition board,Overall: 22 × 32in. (55.9 × 81.3 cm),https://whitneymedia.org/assets/artwork/24/135259.jpeg
25,Katherine Schmidt,Broe and McDonald Listen In,1937,Paintings,Oil on linen,Overall: 30 1/4 × 24 1/4in. (76.8 × 61.6 cm),https://whitneymedia.org/assets/artwork/25/135302.jpeg
27,Franz Kline,Dahlia,1959,Paintings,Oil on canvas,Overall: 82 × 67in. (208.3 × 170.2 cm),https://whitneymedia.org/assets/artwork/27/142455.jpeg
28,Joseph Solman,The Red Shawl,1950,Paintings,Oil on cardboard,Overall: 15 15/16 × 24in. (40.5 × 61 cm),https://whitneymedia.org/assets/artwork/28/130840.jpeg
29,Leo Quanchi,Purple Passage,1956,Paintings,Oil and ink on canvas,Overall: 32 × 20 1/4in. (81.3 × 51.4 cm),https://whitneymedia.org/assets/artwork/29/136615.jpeg
30,Day Schnabel,Transformations,1956,Sculpture,Marble,Overall: 19 1/2 × 10 1/2 × 11 1/2in. (49.5 × 26.7 × 29.2 cm),https://whitney.org/packs/media/images/image_not_available-41f6f160158e04bac951977ca58dcb01.svg
31,Robert Smithson,Mud Flow,1969,Drawings,Fiber-tipped pen and wax crayon on paper,Sheet: 17 13/16 × 23 15/16in. (45.2 × 60.8 cm),https://whitneymedia.org/assets/artwork/31/58439.jpeg
32,Peggy Bacon,Mother and Child,c. 1927,Drawings,Graphite pencil on paper,Sheet: 16 5/8 × 10 13/16in. (42.2 × 27.5 cm),https://whitney.org/packs/media/images/image_not_available-41f6f160158e04bac951977ca58dcb01.svg
34,Ibram Lassaw,Procession,1955–1956,Sculpture,"Brazed bronze, brass, and copper",Overall: 32 × 41 3/4 × 16 1/4in. (81.3 × 106 × 41.3 cm),https://whitneymedia.org/assets/artwork/34/152725.jpeg
35,Gaston Lachaise,Standing Woman,1912–1927,Sculpture,Bronze,Overall: 70 5/8 × 28 1/2 × 19 1/8in. (179.4 × 72.4 × 48.6 cm),https://whitneymedia.org/assets/artwork/35/153143.jpeg
36,Robert Morris,Untitled,1966,Sculpture,Reinforced fiberglass and polyester resin with fluorescent lights,Overall: 36 5/8 × 49 1/4 × 90 1/4in. (93 × 125.1 × 229.2 cm),https://whitneymedia.org/assets/artwork/36/204633.jpeg
37,Carmen Cicero,Over Squankum Hill,1960,Drawings,Ink on paper,Sheet: 23 1/8 × 29in. (58.7 × 73.7 cm),https://whitneymedia.org/assets/artwork/37/59408.jpeg
38,Dan Christensen,Hitch Hike,1968,Paintings,Spray paint on canvas,Overall: 76 1/8 × 96 1/8in. (193.4 × 244.2 cm),https://whitneymedia.org/assets/artwork/38/143001.jpeg
39,Sidney Gordin,19-59,1959,Sculpture,Welded steel on wood base,Overall: 35 7/8 × 34 7/8 × 3in. (91.1 × 88.6 × 7.6 cm),https://whitneymedia.org/assets/artwork/39/149515.jpeg
40,Barrie McDowell,B 15,1963–1964,Sculpture,Painted bronze on laminate base,Overall: 31 × 11 × 11 3/8in. (78.7 × 27.9 × 28.9 cm)   Overall (with base): 46 × 12 × 12in. (116.8 × 30.5 × 30.5 cm),https://whitneymedia.org/assets/artwork/40/155530.jpeg
41,Edward Bruce,Industry,1932,Paintings,Oil on canvas,Overall: 28 1/8 × 36 1/8in. (71.4 × 91.8 cm),https://whitneymedia.org/assets/artwork/41/132193.jpeg
42,Sidney Gordin,Deflections,1953,Sculpture,Painted steel,Overall: 16 3/4 × 56 1/2 × 19in. (42.6 × 143.5 × 48.3 cm),https://whitneymedia.org/assets/artwork/42/151430.jpeg
43,Edward Hopper,(Christmas Card),1929,Drawings,Collage on paper,Sheet: 5 1/4 × 7 3/8in. (13.3 × 18.7 cm)   Image: 2 5/8 × 6 3/8in. (6.7 × 16.2 cm),https://whitneymedia.org/assets/artwork/43/55729.jpeg
44,Henry Pearson,Amanita Verna,1966,Paintings,Acrylic on canvas,Overall: 103 1/8 × 103 1/8in. (261.9 × 261.9 cm),https://whitney.org/packs/media/images/image_not_available-41f6f160158e04bac951977ca58dcb01.svg
45,William Allan,Rainbow Trout - Muir Creek,1972,Drawings,Watercolor on paper,Sheet (Irregular): 20 1/4 × 28in. (51.4 × 71.1 cm),https://whitneymedia.org/assets/artwork/45/59445.jpeg
46,Alan Cote,Redruth,1969,Paintings,Acrylic on shaped canvas,Overall (Irregular): 92 13/16 × 133 1/8in. (235.7 × 338.1 cm),https://whitneymedia.org/assets/artwork/46/143519.jpeg
47,Roy Lichtenstein,Study for Fastest Draw,c. 1963,Drawings,Graphite pencil on paper,Sheet (Irregular): 2 5/8 × 6 1/16in. (6.7 × 15.4 cm),https://whitneymedia.org/assets/artwork/47/46226.jpeg
48,Robert Mangold,Manila-Neutral Area,1965–1967,Paintings,"Oil on shaped composition board, two parts",Overall (In-Situ): 96 1/4 × 96 5/16in. (244.5 × 244.6 cm),https://whitney.org/packs/media/images/image_not_available-41f6f160158e04bac951977ca58dcb01.svg
49,Alice Trumbull Mason,Memorial,1958–1959,Paintings,Oil on composition board,Overall: 36 1/16 × 28 1/16in. (91.6 × 71.3 cm),https://whitneymedia.org/assets/artwork/49/139227.jpeg
