artwork_id,artist_name,artwork_name,artwork_year,artwork_classification,artwork_medium,artwork_dimensions,artwork_image_url
1,'Robert Smithson','Alogon','1966','Sculpture','Painted stainless steel','Overall: 35 1/2 × 73 1/2 × 35 1/2in. (90.2 × 186.7 × 90.2 cm)','https://whitneymedia.org/assets/artwork/1/180055.jpeg'
2,'Gifford R. Beal','The Rag Picker','c. 1940–1945','Drawings','Pen and ink and transparent and opaque watercolor on paper','Sheet (Irregular): 11 5/8 × 14 1/2in. (29.5 × 36.8 cm)','https://whitneymedia.org/assets/artwork/2/46684.jpeg'
3,'Maurice Prendergast',"'Central Park, 1900'",'1900','Drawings',"'Watercolor, pastel, and graphite pencil on paper'",'Sheet: 15 1/4 × 22 1/8in. (38.7 × 56.2 cm)','https://whitneymedia.org/assets/artwork/3/92452.jpeg'
4,'Edward Avedisian','Untitled','1965','Paintings','Acrylic on canvas','Overall: 102 3/16 × 68 3/16in. (259.6 × 173.2 cm)','https://whitneymedia.org/assets/artwork/4/143518.jpeg'
5,'Gaston Lachaise','Dolphin Fountain','1924','Sculpture','Bronze',"'Overall: 17 × 39 1/2 × 24 1/4in., 96lb. (43.2 × 100.3 × 61.6 cm)'",'https://whitneymedia.org/assets/artwork/5/153140.jpeg'
6,'Alfred Henry Maurer','Flowers','c. 1912','Paintings','Oil on cardboard','Overall: 21 5/8 × 18in. (54.9 × 45.7 cm)','https://whitneymedia.org/assets/artwork/6/131566.jpeg'
7,'Reginald Marsh','Sketch after The Birth of Priapus by Poussin','1930s','Drawings','Brush and ink and wash on paper','Sheet: 10 7/8 × 11 1/16in. (27.6 × 28.1 cm)','https://whitneymedia.org/assets/artwork/7/45504.jpeg'
8,'Robert Rauschenberg','Yoicks','1954','Paintings',"'Enamel on collaged polyester, found paper, and cotton on canvas'",'Overall: 96 1/8 × 72 1/16in. (244.2 × 183 cm)','https://whitneymedia.org/assets/artwork/8/143448.jpeg'
9,'David R. Smyth','Untitled','1972','Drawings','Graphite pencil on paper','Sheet: 22 5/8 × 22 9/16in. (57.5 × 57.3 cm)   Image: 18 1/8 × 24in. (46 × 61 cm)','https://whitneymedia.org/assets/artwork/9/57866.jpeg'
10,'Larry Rivers','Washington Crossing the Delaware','1960','Paintings','Oil and oil stick on linen','Overall: 84 3/8 × 108 3/8in. (214.3 × 275.3 cm)','https://whitneymedia.org/assets/artwork/10/142941.jpeg'
